iter	Passed	Remaining
0	144	144669
1	145	72793
2	146	48784
3	147	36773
4	148	29556
5	149	24737
6	150	21304
7	150	18699
8	151	16663
9	151	15030
10	152	13696
11	152	12585
12	153	11644
13	153	10838
14	154	10138
15	154	9525
16	155	8985
17	155	8504
18	156	8075
19	156	7688
20	157	7339
21	157	7021
22	158	6731
23	158	6465
24	159	6220
25	160	5994
26	160	5785
27	161	5592
28	161	5410
29	162	5241
30	162	5083
31	163	4933
32	163	4793
33	164	4662
34	164	4538
35	165	4421
36	165	4309
37	166	4204
38	166	4104
39	167	4009
40	167	3918
41	168	3833
42	168	3751
43	169	3673
44	169	3598
45	170	3527
46	170	3458
47	171	3392
48	171	3330
49	172	3270
50	172	3212
51	173	3157
52	173	3103
53	174	3051
54	174	3001
55	175	2953
56	175	2906
57	176	2861
58	176	2818
59	177	2776
60	177	2735
61	178	2695
62	178	2658
63	179	2621
64	179	2585
65	180	2551
66	180	2517
67	181	2480
68	181	2448
69	181	2417
70	182	2387
71	183	2358
72	183	2330
73	183	2302
74	184	2275
75	184	2248
76	185	2224
77	186	2199
78	186	2175
79	187	2151
80	187	2128
81	188	2105
82	188	2083
83	189	2061
84	189	2038
85	189	2018
86	190	1996
87	190	1977
88	191	1959
89	192	1941
90	192	1924
91	193	1906
92	193	1888
93	194	1871
94	194	1854
95	195	1838
96	195	1821
97	196	1805
98	196	1790
99	197	1774
100	197	1760
101	197	1743
102	198	1728
103	198	1714
104	199	1699
105	200	1687
106	200	1673
107	201	1660
108	201	1648
109	202	1635
110	202	1622
111	203	1610
112	203	1598
113	204	1586
114	204	1574
115	204	1562
116	205	1550
117	205	1539
118	206	1527
119	206	1516
120	207	1506
121	207	1495
122	208	1483
123	208	1473
124	209	1463
125	209	1453
126	210	1444
127	210	1433
128	210	1424
129	211	1414
130	211	1405
131	212	1396
132	212	1388
133	213	1379
134	213	1370
135	214	1362
136	214	1354
137	215	1345
138	215	1336
139	216	1328
140	216	1320
141	217	1313
142	217	1305
143	218	1297
144	218	1290
145	219	1283
146	219	1275
147	220	1268
148	220	1261
149	221	1254
150	221	1247
151	222	1240
152	222	1233
153	223	1226
154	223	1219
155	224	1213
156	224	1206
157	225	1200
158	225	1193
159	226	1187
160	226	1181
161	227	1174
162	227	1168
163	228	1165
164	229	1159
165	229	1153
166	230	1148
167	230	1142
168	231	1136
169	231	1131
170	232	1125
171	232	1120
172	233	1114
173	233	1109
174	234	1103
175	234	1098
176	235	1093
177	235	1088
178	236	1083
179	236	1078
180	236	1071
181	237	1066
182	237	1061
183	238	1057
184	238	1052
185	239	1047
186	239	1042
187	240	1038
188	240	1033
189	241	1028
190	241	1024
191	243	1023
192	243	1019
193	244	1015
194	245	1011
195	245	1007
196	246	1003
197	246	999
198	247	995
199	247	991
200	248	987
201	249	983
202	249	979
203	250	976
204	250	972
205	251	968
206	251	964
207	252	960
208	252	956
209	253	953
210	254	949
211	254	946
212	255	942
213	255	938
214	256	935
215	256	932
216	257	928
217	257	925
218	258	921
219	259	918
220	259	915
221	260	911
222	260	908
223	261	905
224	261	901
225	262	898
226	262	895
227	263	892
228	263	888
229	264	885
230	264	881
231	265	878
232	265	875
233	266	872
234	266	868
235	267	865
236	267	862
237	268	859
238	268	856
239	269	852
240	269	849
241	270	846
242	270	843
243	271	840
244	271	837
245	272	834
246	272	831
247	273	828
248	273	826
249	274	823
250	274	820
251	275	817
252	275	814
253	276	811
254	276	808
255	277	806
256	277	803
257	278	800
258	278	797
259	279	795
260	279	792
261	280	789
262	280	786
263	281	784
264	281	781
265	282	779
266	282	776
267	283	773
268	283	771
269	284	768
270	284	765
271	285	763
272	285	761
273	286	759
274	287	756
275	287	754
276	288	752
277	288	749
278	289	747
279	289	745
280	290	742
281	290	740
282	291	738
283	292	736
284	292	733
285	293	731
286	293	729
287	294	727
288	294	725
289	295	723
290	296	721
291	296	720
292	297	718
293	298	716
294	298	714
295	299	712
296	300	711
297	300	709
298	301	707
299	302	705
300	302	703
301	303	701
302	303	699
303	304	697
304	305	695
305	305	693
306	306	691
307	307	689
308	307	688
309	308	686
310	308	684
311	309	682
312	310	680
313	310	678
314	311	677
315	312	675
316	312	674
317	313	673
318	314	671
319	315	670
320	316	669
321	317	667
322	317	666
323	318	664
324	319	663
325	320	661
326	320	660
327	321	659
328	322	657
329	323	656
330	324	655
331	325	654
332	326	653
333	327	652
334	327	650
335	329	650
336	329	648
337	330	647
338	331	645
339	331	644
340	332	642
341	333	640
342	333	639
343	334	637
344	335	636
345	335	634
346	336	633
347	337	632
348	338	631
349	339	629
350	340	629
351	341	628
352	341	626
353	342	625
354	343	623
355	343	621
356	344	620
357	345	618
358	345	617
359	346	615
360	346	614
361	347	612
362	348	611
363	348	609
364	349	608
365	350	607
366	351	606
367	352	605
368	352	603
369	353	601
370	354	600
371	354	598
372	355	597
373	355	595
374	356	594
375	357	592
376	357	591
377	358	589
378	358	588
379	359	586
380	360	585
381	360	583
382	361	582
383	361	580
384	362	579
385	363	577
386	363	576
387	364	575
388	365	574
389	366	573
390	367	572
391	368	571
392	369	570
393	369	568
394	370	567
395	371	566
396	371	564
397	372	563
398	373	561
399	373	560
400	374	559
401	374	557
402	375	556
403	376	555
404	377	554
405	377	552
406	378	551
407	379	550
408	380	549
409	380	547
410	381	546
411	382	545
412	383	544
413	383	543
414	384	541
415	384	540
416	385	538
417	386	537
418	386	536
419	387	534
420	387	533
421	388	532
422	389	530
423	389	529
424	390	528
425	390	526
426	391	525
427	392	524
428	392	522
429	393	521
430	394	520
431	394	519
432	395	518
433	396	517
434	397	516
435	398	515
436	398	513
437	399	512
438	400	511
439	400	510
440	401	509
441	402	507
442	402	506
443	403	505
444	404	504
445	404	502
446	405	501
447	406	500
448	406	499
449	407	497
450	407	496
451	408	495
452	409	494
453	410	493
454	410	492
455	411	491
456	412	490
457	413	488
458	413	487
459	414	486
460	414	485
461	415	483
462	416	482
463	416	481
464	417	480
465	418	479
466	418	478
467	419	477
468	420	475
469	420	474
470	421	473
471	422	472
472	422	471
473	423	470
474	424	469
475	425	467
476	425	466
477	426	465
478	426	464
479	427	463
480	428	462
481	429	461
482	430	460
483	430	459
484	431	457
485	431	456
486	432	455
487	433	454
488	433	453
489	434	452
490	435	451
491	435	449
492	436	448
493	436	447
494	437	446
495	438	445
496	438	444
497	439	443
498	440	442
499	440	440
500	441	439
501	442	439
502	443	437
503	443	436
504	444	435
505	445	434
506	446	433
507	446	432
508	447	431
509	448	430
510	448	429
511	449	428
512	450	427
513	451	426
514	451	425
515	452	424
516	453	423
517	453	422
518	454	421
519	455	420
520	456	419
521	456	418
522	457	417
523	458	416
524	458	415
525	459	414
526	460	413
527	460	411
528	461	410
529	462	409
530	462	408
531	463	407
532	463	406
533	464	405
534	464	404
535	465	402
536	465	401
537	466	400
538	466	399
539	468	398
540	468	397
541	469	396
542	469	395
543	470	394
544	470	393
545	471	391
546	471	390
547	472	389
548	472	388
549	473	387
550	473	386
551	474	385
552	474	383
553	475	382
554	475	381
555	476	380
556	477	379
557	477	378
558	478	377
559	478	375
